2018-02-27 19:05:39,319 [Thread-3] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2018-02-27 19:05:39,319 [Thread-3] INFO  marytts.TextToMaryXML Power-on self test complete.
2018-02-27 19:05:39,838 [Thread-3] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2018-02-27 19:05:39,838 [Thread-3] INFO  marytts.SableParser Starting power-on self test.
2018-02-27 19:05:39,838 [Thread-3] INFO  marytts.SableParser Power-on self test complete.
2018-02-27 19:05:39,932 [Thread-3] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2018-02-27 19:05:39,932 [Thread-3] INFO  marytts.SSMLParser Starting power-on self test.
2018-02-27 19:05:39,933 [Thread-3] INFO  marytts.SSMLParser Power-on self test complete.
2018-02-27 19:05:39,986 [Thread-3] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2018-02-27 19:05:39,986 [Thread-3] INFO  marytts.APMLParser Starting power-on self test.
2018-02-27 19:05:39,986 [Thread-3] INFO  marytts.APMLParser Power-on self test complete.
2018-02-27 19:05:40,024 [Thread-3] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2018-02-27 19:05:40,024 [Thread-3] INFO  marytts.EmotionmlParser Starting power-on self test.
2018-02-27 19:05:40,025 [Thread-3] INFO  marytts.EmotionmlParser Power-on self test complete.
2018-02-27 19:05:40,025 [Thread-3] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2018-02-27 19:05:40,064 [Thread-3] INFO  marytts.JTokeniser Starting power-on self test.
2018-02-27 19:05:40,064 [Thread-3] INFO  marytts.JTokeniser Power-on self test complete.
2018-02-27 19:05:40,064 [Thread-3] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2018-02-27 19:05:40,064 [Thread-3] INFO  marytts.DummyTokens2Words Starting power-on self test.
2018-02-27 19:05:40,064 [Thread-3] INFO  marytts.DummyTokens2Words Power-on self test complete.
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.Prosody Starting power-on self test.
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.Prosody Power-on self test complete.
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.PronunciationModel Starting power-on self test.
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.PronunciationModel Power-on self test complete.
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.TargetFeatureLister Starting power-on self test.
2018-02-27 19:05:40,077 [Thread-3] INFO  marytts.TargetFeatureLister Power-on self test complete.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.TargetFeatureLister Starting power-on self test.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.TargetFeatureLister Power-on self test complete.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.AcousticModeller Starting power-on self test.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.AcousticModeller Power-on self test complete.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Realised durations extractor Starting power-on self test.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Realised durations extractor Power-on self test complete.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2018-02-27 19:05:40,078 [Thread-3] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2018-02-27 19:05:40,090 [Thread-3] INFO  marytts.JTokeniser Starting power-on self test.
2018-02-27 19:05:40,090 [Thread-3] INFO  marytts.JTokeniser Power-on self test complete.
2018-02-27 19:05:40,090 [Thread-3] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2018-02-27 19:05:40,091 [Thread-3] INFO  marytts.Preprocess Starting power-on self test.
2018-02-27 19:05:40,091 [Thread-3] INFO  marytts.Preprocess Power-on self test complete.
2018-02-27 19:05:40,091 [Thread-3] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2018-02-27 19:05:40,093 [Thread-3] INFO  marytts.JPhonemiser Starting power-on self test.
2018-02-27 19:05:40,093 [Thread-3] INFO  marytts.JPhonemiser Power-on self test complete.
2018-02-27 19:05:40,093 [Thread-3] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2018-02-27 19:05:40,093 [Thread-3] INFO  marytts.JPhonemiser Starting power-on self test.
2018-02-27 19:05:40,094 [Thread-3] INFO  marytts.JPhonemiser Power-on self test complete.
2018-02-27 19:05:40,098 [Thread-3] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2018-02-27 19:05:40,098 [Thread-3] INFO  marytts.Prosody Starting power-on self test.
2018-02-27 19:05:40,099 [Thread-3] INFO  marytts.Prosody Power-on self test complete.
2018-02-27 19:05:40,100 [Thread-3] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2018-02-27 19:05:40,100 [Thread-3] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2018-02-27 19:05:40,103 [Thread-3] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2018-02-27 19:05:40,103 [Thread-3] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2018-02-27 19:05:40,103 [Thread-3] INFO  marytts.PronunciationModel Starting power-on self test.
2018-02-27 19:05:40,103 [Thread-3] INFO  marytts.PronunciationModel Power-on self test complete.
2018-02-27 19:05:40,103 [Thread-3] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2018-02-27 19:05:40,670 [Thread-3] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2018-02-27 19:05:40,670 [Thread-3] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2018-02-27 19:05:40,671 [Thread-3] INFO  marytts.main Startup complete.
